性別,球員,#,聯盟,球隊,連結,現役,身份,新秀,聯盟身份,位置,身高,體重,生日,學歷,入隊方式,class,合約,,剩餘年限,備注,,2023-24 球隊,,GP,PPG,RPG,APG,自由球員狀態,,0
men,張伯維,,,fa,https://pleagueofficial.com/player/45,active,local,,本土,F,190,92,1990/07/22,臺灣藝大,,,,,,,,PLG,steelers,39,9.1,2.0,1.0,-,,
men,許敬恩,,,fa,https://taipeimars.com.tw/team/189,active,local,2023Rookie,本土,G,190,90,2001/07/11,臺灣師大,,,,,,,,T1,mars,3,0.0,0.0,0.3,-,,
men,譚傑龍,,,fa,https://tpbl.basketball/players/42,active,local,2020Rookie,本土,F,203,105,2000/06/02,NAIA UBC,加盟: 2021-22賽季,,,,,,,T1,dea,19,3.8,1.9,0.8,完成續約,https://www.instagram.com/p/C-4DjZeTDa7/,
men,楊敬敏,,,fa,https://pleagueofficial.com/player/87,active,local,,本土,F,190,92,1984/01/22,北市大學,,,,,,,,PLG,kings,23,13.1,4.7,3.0,-,,
men,翟振皓,,,fa,https://pleagueofficial.com/player/381,active,local,,本土,F,194,95,1993/07/25,康寧大學,,,,,,,,PLG,kings,5,0.8,1.6,0.0,-,,
men,戴維斯,,,fa,https://pleagueofficial.com/player/69,active,naturalized,,本土,C,203,100,1983/02/16,-,加盟: 2021-22賽季,,2021-22,,0,,https://www.nownews.com/news/6432833,PLG,kings,5,7.2,6.4,1.2,-,,
men,張傑瑋,,,fa,https://pleagueofficial.com/player/282,active,uba_import,2022Rookie,外籍生,G,184,87,1997/09/06,萬能科大,,,,,,,,PLG,lioneers,23,4.7,2.5,1.8,不執行球隊選擇權,,
men,林耀宗,,,fa,https://pleagueofficial.com/player/59,active,local,,本土,C,194,100,1990/09/07,明道大學,,,,,,,,PLG,dreamers,8,0.0,0.5,0.0,-,,
men,簡肇熠,,,fa,https://sleague.tw/player/oldRoster/268,active,local,,本土,-,180,-,1993/07/12,文化大學,加盟: 2022-23賽季,,2021-22,,,,,SBL,beer,4,3.3,1.5,1.3,-,,
men,陳建銘,,,fa,https://sleague.tw/player/oldRoster/7010,active,local,2022Rookie,本土,-,176,-,1997/09/11,世新大學,加盟: 2023-24賽季,,2022-23,,,,,SBL,beer,11,2.9,1.4,0.9,-,,
men,呂蔡瑜倫,,,fa,https://sleague.tw/player/oldRoster/7011,active,local,2022Rookie,本土,-,191,-,1998/11/08,日本 仙台大學,加盟: 2023-24賽季,,,,,,,SBL,beer,3,0.0,1.3,0.3,-,,
men,蔡嘉駿,,,fa,https://sleague.tw/player/oldRoster/5903,active,local,2021Rookie,本土,-,190,-,1997/12/11,北市大學,,,,,,,,SBL,bank,7,1.4,0.7,0.1,-,,
men,蔡亞軒,,,fa,https://sleague.tw/player/oldRoster/7006,active,local,2023Rookie,本土,-,185,-,1999/10/09,虎尾科大,,,,,,,,SBL,bank,1,0.0,2.0,0.0,-,,
men,伊波卡,,,fa,https://sleague.tw/player/oldRoster/7026,active,uba_import,2022Rookie,外籍生,-,195,-,2000/06/29,世新大學,加盟: 2023-24賽季,,2023-24,,,,,SBL,yulon,18,7.1,4.5,1.1,-,,
men,吳彥侖,,,fa,https://sleague.tw/player/oldRoster/7026,active,local,,本土,-,182,-,1997/06/18,義守大學,租借 from 獵鷹: 2024/01/04,,,租借 from 獵鷹,,與T1獵鷹租借球員,https://tw.sports.yahoo.com/news/sbl%E8%A3%95%E9%9A%86%E7%B0%BD%E8%B3%AD%E6%A1%88%E6%88%B0%E5%8A%9B%E5%A4%A7%E5%82%B7-t1%E7%8D%B5%E9%B7%B9%E6%9A%96%E5%BF%83%E4%BA%A4%E6%B5%81%E9%80%81%E5%87%BA4%E5%90%8D%E7%90%83%E5%93%A1-073018186.html,SBL,yulon,18,1.9,0.9,0.8,,,
men,鄭德維,,,fa,https://sleague.tw/player/oldRoster/7026,active,local,2021Rookie,本土,-,193,-,1995/10/08,世新大學,加盟: 2023-24賽季,,2023-24,,,,,SBL,yulon,12,2.8,2.1,1.2,,,
men,蔣浩偉,,,fa,https://sleague.tw/player/oldRoster/5927,active,local,2022Rookie,本土,-,176,-,1998/10/28,醒吾科大,,,,,,,,SBL,bll,19,4.5,0.8,0.5,-,,
men,楊浩之,,,fa,https://sleague.tw/player/oldRoster/6993,active,taiwanese,2021Rookie,華裔,-,187,-,1995/10/20,-,,,,,,,,SBL,bll,7,1.3,0.7,0.0,-,,
men,陳昶宏,,,fa,https://sleague.tw/player/oldRoster/6994,active,local,2023Rookie,本土,-,186,-,2001/05/24,陽明交通,,,,,,,,SBL,bll,5,0.4,0.8,0.2,-,,
men,邱柏璋,,,,,,local,,本土,F,190,90,1995/11/02,,,,,,,,,PLG,steelers,13,2.0,1.2,0.5,轉任體能訓練師,https://www.instagram.com/p/C-b8m0bzPBC/,
men,劉韋辰,,,,,,local,,本土,G,190,84,1988/11/27,,,,,,,,,T1,dea,3,0.3,1.0,0.0,轉任星火計劃助教,https://www.instagram.com/p/DBAojUOTZYf/,
men,宋宇軒,,,,,,local,,本土,G,185,80,1989/12/05,,,,,,,,,PLG,lioneers,2,5.0,0.0,0.5,退役 轉任體能助教,https://www.instagram.com/p/C-EySsMyVg7/,
men,呂奇旻,,,,,,local,,本土,G,188,90,1989/10/27,,,,,,,,,PLG,lioneers,5,3.4,0.8,0.8,退役 轉任助理教練,https://www.instagram.com/p/C_MxpZ-Sqk_/,
men,吳松蔚,,,,,,local,,本土,G,182,80,1993/05/21,,,,,,,,,PLG,dreamers,12,0.5,0.1,0.0,退役,https://www.instagram.com/p/C-rSgJXt0ly/,
men,漢米爾頓,5,PLG,braves,https://pleagueofficial.com/player/436,,import,,洋將,F,203,103,1990/10/06,-,加盟: 2024/08/16,,,,,,,,,,,,,,,
men,塞瑟夫,32,TPBL,mars,https://tpbl.basketball/players/18,,import,,洋將,C,210,99,1989/05/11,-,加盟: 2024/08/26,,,,,,,,,,,,,,,
men,揚科維奇,33,TPBL,dreamers,https://tpbl.basketball/players/105,,import,,洋將,C,211,109,1993/08/04,-,加盟: 2024/08/23,,,,,,,,,,,,,,,
men,力契,14,TPBL,lioneers,https://tpbl.basketball/players/96,,import,,洋將,C,210,115,1996/02/05,-,加盟: 2024/08/12,,,,,,,,,,,,,,,
men,奧利佛,15,TPBL,mars,https://tpbl.basketball/players/17,,import,,洋將,PF,203,102,1992/07/02,-,加盟: 2024/08/03,,,,,,,,,,,,,,,
men,布銳克曼,5,TPBL,aquas,https://tpbl.basketball/players/112,,import,,洋將,PG,179,79,1991/11/19,-,加盟: 2021-22賽季,,,,,,,,,,,,,,,
men,阿修羅,55,TPBL,leopards,https://tpbl.basketball/players/70,,import,,洋將,C,213,113,1994/01/05,-,加盟: 2024/08/31,,,,,,,,,,,,,,,
men,銳尼,6,TPBL,dea,https://tpbl.basketball/players/50,,import,,洋將,SF/PF,199,107,1995/09/14,-,加盟: 2024/08/14,,2024-25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
women,彭詩晴,23,中國 WCBA,石家莊英勵,https://www.instagram.com/elfinpeng/,active,local,,港澳台,G,165,63,1991/11/09,北市大學,加盟: 2023-24賽季,,,,,,,,,,,,,,,
women,張綺芳,31,中國 WCBA,內蒙古農信,https://www.instagram.com/pika_ccf31/,active,local,,港澳台,G,174,67,1993/01/16,臺灣師大,加盟: 2023-24賽季,,,,,,,,,,,,,,,
women,陳晏宇,4,中國 WCBA,上海浦發銀行,https://www.instagram.com/chen.83107/,active,local,,港澳台,G,171,64,1994/10/07,臺灣師大,加盟: 2023-24賽季,,,,,,,,,,,,,,,
women,林育庭,22,中國 WCBA,四川遠達美樂,https://www.instagram.com/ding1212/,active,local,,港澳台,G,178,67,1994/01/25,文化大學,加盟: 2024-25賽季,,,,,,,,,,,,,,,
women,黃柔甄,4,中國 WCBA,福建廈門白鷺,https://www.instagram.com/jouchen0616/,active,local,,港澳台,G,172,65,1997/06/16,文化大學,加盟: 2023-24賽季,,,,,,,,,,,,,,,
women,陳薇安,6,中國 WCBA,河南豫光金鉛,https://wsbl.meetagile.com/player/oldRoster/594,active,local,,港澳台,G,177,-,1995/11/01,文化大學,加盟: 2024-25賽季,,,,,,,,,,,,,,,
women,彭曉彤,55,中國 WCBA,河南豫光金鉛,https://wsbl.meetagile.com/player/oldRoster/589,active,local,,港澳台,G,170,-,1998/02/19,文化大學,加盟: 2024-25賽季,,,,,,,,,,,,,,,
women,劉希曄,24,中國 WCBA,安徽合肥文旅,https://wsbl.meetagile.com/player/oldRoster/558,active,local,,港澳台,G,174,-,1991/10/10,臺灣師大,加盟: 2024-25賽季,,,,,,,,,,,,,,,
women,王維琳,11,中國 WCBA,安徽合肥文旅,https://wsbl.meetagile.com/player/oldRoster/571,active,local,,港澳台,F,181,-,1993/02/01,臺灣師大,加盟: 2024-25賽季,,,,,,,,,,,,,,,
women,謝羽姍,30,中國 WCBA,黑龍江上東,https://www.instagram.com/yushan__30/,active,local,2023Rookie,港澳台,G,161,60,2001/03/30,輔仁大學,加盟: 2024-25賽季,,,,,,,,,,,,,,,
women,陳昱潔,47,中國 WCBA,江西贛州贛星,https://www.instagram.com/0.6.1.5__/,active,local,2024Rookie,港澳台,F,180,-,2002/06/15,臺灣師大,加盟: 2024-25賽季,,,,,,,,,,,,,,,
women,許筱彤,31,韓國 WKBL,韓亞 1Q,https://www.wkbl.or.kr/player/detail.asp?player_group=12&tcode=&pno=095499,active,local,,歸化,C,182,72,1996/03/23,韓國 水原女高,加盟: 2024/04/12,,,,,,,,,,,,,,,
women,黃郁婷,1,WSBL,cathay,https://wsbl.meetagile.com/roster/148371,,local,,本土,PG/SG,163,54,1994/04/07,佛光大學,加盟: 2024-25賽季,,,,,,,,,,,,,,,
women,劉倩伶,4,WSBL,cathay,https://wsbl.meetagile.com/roster/148370,active,local,2024Rookie,本土,PG/SG,168,68,2000/01/12,文化大學,2024 WSBL 選秀 - #3 順位,,,,,,,,,,,,,,,
women,陳孟欣,5,WSBL,cathay,https://wsbl.meetagile.com/roster/148369,active,local,2020Rookie,本土,PG/SG,164,57,1999/10/07,佛光大學,加盟: 2022-23賽季,,,,,,,,,,,,,,,
women,黃鈴娟,6,WSBL,cathay,https://wsbl.meetagile.com/roster/148368,active,local,,本土,SF/PF,175,65,1994/12/06,文化大學,加盟: 2018-19賽季,,,,,,,,,,,,,,,
women,劉昕妤,7,WSBL,cathay,https://wsbl.meetagile.com/roster/148367,active,local,2020Rookie,本土,PG/SG,180,65,1998/11/23,佛光大學,加盟: 2022-23賽季,,,,,,,,,,,,,,,
women,羅蘋,8,WSBL,cathay,https://wsbl.meetagile.com/roster/148366,active,local,,本土,SF/PF,168,62,1996/04/02,文化大學,加盟: 2018-19賽季,,,,,,,,,,,,,,,
women,徐玉蓮,9,WSBL,cathay,https://wsbl.meetagile.com/roster/148365,active,local,2021Rookie,本土,SF/PF,176,67,1997/04/18,文化大學,保留名單: 2021-22賽季,,,,,,,,,,,,,,,
women,韓雅恩,10,WSBL,cathay,https://wsbl.meetagile.com/roster/148364,active,local,,本土,SF/PF,180,72,1995/01/01,文化大學,加盟: 2016-17賽季,,,,,,,,,,,,,,,
women,鄭伊秀,11,WSBL,cathay,https://wsbl.meetagile.com/roster/148363,active,local,,本土,SF/PF,178,75,1993/06/24,文化大學,加盟: 2013-14賽季,,,,,,,,,,,,,,,
women,陳鈺君,13,WSBL,cathay,https://wsbl.meetagile.com/roster/148362,active,local,,本土,SF/PF,178,70,1987/03/07,文化大學,加盟: 2019-20賽季,,,,,,,,,,,,,,,
women,歐婕,15,WSBL,cathay,https://wsbl.meetagile.com/roster/148361,active,local,,本土,SF/PF,181,68,1995/05/08,文化大學,加盟: 2016-17賽季,,,,,,,,,,,,,,,
women,黃巧鈞,16,WSBL,cathay,https://wsbl.meetagile.com/roster/148360,active,local,2023Rookie,本土,PG/SG,172,62,2001/10/24,文化大學,保留名單: 2023-24賽季,,,,,,,,,,,,,,,
women,郭虹廷,17,WSBL,cathay,https://wsbl.meetagile.com/roster/148359,,local,2024Rookie,本土,SF/PF,178,68,2002/12/27,文化大學,保留名單: 2024-25賽季,,,,,,,,,,,,,,,
women,蕭豫玟,18,WSBL,cathay,https://wsbl.meetagile.com/roster/148358,active,local,2023Rookie,本土,C,185,79,2005/03/05,HBL 淡水商工,保留名單: 2023-24賽季,,,,,,,,,,,,,,,
women,黃沁瑜,0,WSBL,taipower,https://wsbl.meetagile.com/roster/148381,active,local,2022Rookie,本土,SF/PF,169,56,2000/08/30,佛光大學,2022 WSBL 選秀 - #4 順位,,,,,,,,,,,,,,,
women,蘇苡瑈,2,WSBL,taipower,https://wsbl.meetagile.com/roster/148380,active,local,,本土,C,175,70,1992/03/19,佛光大學,加盟: 2019-20賽季,,,,,,,,,,,,,,,
women,宋瑞蓁,3,WSBL,taipower,https://wsbl.meetagile.com/roster/148379,active,local,2024Rookie,本土,PG/SG,160,59,2004/02/03,世新大學,2024 WSBL 選秀 - #2 順位,,,,,,,,,,,,,,,
women,吳侑萱,7,WSBL,taipower,https://wsbl.meetagile.com/roster/148378,active,local,2023Rookie,本土,C,183,70,1997/10/09,日本 體育大學,2023 WSBL 選秀 - #1 順位,,,,,,,,,,,,,,,
women,韓汛,8,WSBL,taipower,https://wsbl.meetagile.com/roster/148377,active,local,2024Rookie,本土,SF/PF,174,63,2004/03/18,世新大學,2024 WSBL 選秀 - #6 順位,,,,,,,,,,,,,,,
women,戴宜庭,13,WSBL,taipower,https://wsbl.meetagile.com/roster/148376,active,local,2020Rookie,本土,SF/PF,176,72,1995/11/12,文化大學,加盟: 2023-24賽季,,,,,,,,,,,,,,,
women,張譯文,15,WSBL,taipower,https://wsbl.meetagile.com/roster/148375,active,local,,本土,SF/PF,173,63,1996/05/16,臺灣體大,加盟: 2018-19賽季,,,,,,,,,,,,,,,
women,楊芷瑜,17,WSBL,taipower,https://wsbl.meetagile.com/roster/148374,active,local,2019Rookie,本土,C,180,71,1995/12/03,佛光大學,2019 WSBL 選秀 - #1 順位,,,,,,,,,,,,,,,
women,羅培儀,66,WSBL,taipower,https://wsbl.meetagile.com/roster/148373,active,local,2020Rookie,本土,PG/SG,163,55,2000/03/01,世新大學,加盟: 2023-24賽季,,,,,,,,,,,,,,,
women,彭惠貞,77,WSBL,taipower,https://wsbl.meetagile.com/roster/148372,active,local,2019Rookie,本土,PG/SG,169,57,1996/08/20,佛光大學,2019 WSBL 選秀 - #3 順位,,,,,,,,,,,,,,,
women,陳怡萱,0,WSBL,cht,https://wsbl.meetagile.com/roster/148340,active,local,2021Rookie,本土,C,175,61,1997/11/27,臺灣師大,2021 WSBL 選秀 - #2 順位,,,,,,,,,,,,,,,
women,潘姿吟,2,WSBL,cht,https://wsbl.meetagile.com/roster/148339,active,local,,本土,PG/SG,170,63,1992/07/23,臺灣師大,加盟: 2016-17賽季,,,,,,,,,,,,,,,
women,徐詩涵,4,WSBL,cht,https://wsbl.meetagile.com/roster/148338,active,local,2022Rookie,本土,PG/SG,164,58,2000/07/15,臺灣師大,保留名單: 2022-23賽季,,,,,,,,,,,,,,,
women,陳靳豫萱,6,WSBL,cht,https://wsbl.meetagile.com/roster/148337,active,local,2023Rookie,本土,SF/PF,173,66,2000/11/19,臺灣師大,保留名單: 2023-24賽季,,,,,,,,,,,,,,,
women,劉惠茹,7,WSBL,cht,https://wsbl.meetagile.com/roster/148336,active,local,2019Rookie,本土,SF/PF,162,52,1996/07/25,臺灣師大,保留名單: 2019-20賽季,,,,,,,,,,,,,,,
women,梁瑜玲,8,WSBL,cht,https://wsbl.meetagile.com/roster/148335,active,local,2024Rookie,本土,PG/SG,155,57,2000/07/25,佛光大學,2024 WSBL 選秀 - #5 順位,,,,,,,,,,,,,,,
women,吳明臻,9,WSBL,cht,https://wsbl.meetagile.com/roster/148334,active,local,2022Rookie,本土,SF/PF,169,65,1999/10/24,臺灣師大,保留名單: 2022-23賽季,,,,,,,,,,,,,,,
women,劉嘉瑋,10,WSBL,cht,https://wsbl.meetagile.com/roster/148333,active,local,,本土,SF/PF,175,85,1988/10/21,臺灣師大,加盟: 2008-09賽季,,,,,,,,,,,,,,,
women,陳芷英,11,WSBL,cht,https://wsbl.meetagile.com/roster/148332,active,local,2023Rookie,本土,SF/PF,174,64,2002/07/30,臺灣科大,2023 WSBL 選秀 - #2 順位,,,,,,,,,,,,,,,
women,黃湘婷,12,WSBL,cht,https://wsbl.meetagile.com/roster/148331,active,local,,本土,C,180,73,1993/01/26,臺灣師大,加盟: 2011-12賽季,,,,,,,,,,,,,,,
women,王竫婷,13,WSBL,cht,https://wsbl.meetagile.com/roster/148330,active,local,2022Rookie,本土,C,180,69,1998/02/21,佛光大學,2022 WSBL 選秀 - #1 順位,,,,,,,,,,,,,,,
women,陳雅彤,24,WSBL,cht,https://wsbl.meetagile.com/roster/148329,active,local,2022Rookie,本土,C,180,74,2000/08/31,臺灣師大,保留名單: 2022-23賽季,,,,,,,,,,,,,,,
women,林玉書,30,WSBL,cht,https://wsbl.meetagile.com/roster/148328,active,local,,本土,SF/PF,168,59,1996/06/30,輔仁大學,加盟: 2018-19賽季,,,,,,,,,,,,,,,
women,楊婉琳,31,WSBL,cht,https://wsbl.meetagile.com/roster/148327,active,local,2021Rookie,本土,SF/PF,170,60,1997/08/15,佛光大學,2021 WSBL 選秀 - #3 順位,,,,,,,,,,,,,,,
women,張家瑄,46,WSBL,cht,https://wsbl.meetagile.com/roster/148326,active,local,2024Rookie,本土,SF/PF,178,65,2005/04/06,世新大學,2024 WSBL 選秀 - #1 順位,,,,,,,,,,,,,,,
women,王游乙文,88,WSBL,cht,https://sleague.tw/roster/148273,active,local,2020Rookie,本土,SF/PF,175,80,1996/10/16,日本 拓殖大學,2020 WSBL 選秀 - #2 順位,,,,,,,,,,,,,,,
women,方曉晴,66,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148341,active,local,2024Rookie,本土,SF/PF,169,64,1999/12/29,北市大學,2024 WSBL 選秀 - #7 順位,,,,,,,,,,,,,,,
women,廖瑋晴,0,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148357,active,local,2023Rookie,本土,C,180,74,2001/01/14,北市大學,加盟: 2024/11/25,,,,,,,,,,,,,,,
women,黃凡珊,5,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148356,active,local,,本土,PG/SG,175,66,1987/09/29,文化大學,加盟: 2024/11/25,,,,,,,,,,,,,,,
women,卓敬,6,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148355,active,local,,本土,SF/PF,172,68,1997/10/13,世新大學,加盟: 2018-19賽季,,,,,,,,,,,,,,,
women,朱育勤,7,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148354,active,local,2020Rookie,本土,PG/SG,163,59,1996/04/01,北市大學,2020 WSBL 選秀 - #3 順位,,,,,,,,,,,,,,,
women,蔡佩真,10,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148352,active,local,,本土,C,186,80,1984/05/27,北市大學,加盟: 2004-05賽季,,,,,,,,,,,,,,,
women,吳盈潔,12,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148351,active,local,,本土,SF/PF,178,68,1992/11/03,臺灣師大,加盟: 2019-20賽季,,,,,,,,,,,,,,,
women,林文佑,13,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148350,active,local,,本土,C,180,70,1995/08/01,文化大學,加盟: 2018-19賽季,,,,,,,,,,,,,,,
women,黃英利,14,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148349,active,local,,本土,SF/PF,170,65,1989/02/24,文化大學,加盟: 2022-23賽季,,,,,,,,,,,,,,,
women,許玟瑄,17,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148348,active,local,2023Rookie,本土,C,177,73,2000/01/17,世新大學,保留名單: 2023-24賽季,,,,,,,,,,,,,,,
women,史靜茹,18,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148347,active,local,2020Rookie,本土,C,182,75,1995/11/06,北市大學,保留名單: 2020-21賽季,,,,,,,,,,,,,,,
women,瑪麗,21,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148382,active,import,,洋將,C,195,88,1994/05/28,-,加盟: 2024/12/20,,,,,,,,,,,,,,,
women,林蝶,22,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148346,active,local,2021Rookie,本土,C,179,70,1999/08/02,世新大學,保留名單: 2021-22賽季,,,,,,,,,,,,,,,
women,宋佩欣,24,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148345,active,taiwanese,2021Rookie,華裔,SF/PF,176,77,1998/03/03,NCAA D1 UC Davis,加盟: 2021-22賽季,,,,,,,,,,,,,,,
women,蘇嘉嫻,27,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148344,active,local,2022Rookie,本土,SF/PF,175,67,1999/09/27,世新大學,保留名單: 2022-23賽季,,,,,,,,,,,,,,,
women,羅培甄,35,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148343,active,local,2020Rookie,本土,SF/PF,175,60,1998/10/11,世新大學,保留名單: 2020-21賽季,,,,,,,,,,,,,,,
women,張琦玟,37,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148342,active,local,2023Rookie,本土,C,179,79,2000/03/04,日本 環太平洋大學,2023 WSBL 選秀 - #3 順位,,,,,,,,,,,,,,,
women,藍浩語,,WSBL,cathay,,,local,,本土,-,170,-,1983/08/02,文化大學,加盟: 2004-05賽季,,,,,,,,,,,,,,,
women,李宥叡,,WSBL,cathay,,,local,,本土,-,180,-,1986/12/23,文化大學,加盟: 2005-06賽季,,,,,,,,,,,,,,,
women,林釵娟,,WSBL,taipower,,,local,2023Rookie,本土,-,174,-,2000/01/03,臺灣師大,2023 WSBL 選秀 - #4 順位,,,,,,,,,,,,,,,
women,李吟娸,,WSBL,taipower,,,local,2022Rookie,本土,-,165,-,2000/09/20,世新大學,2022 WSBL 選秀 - #2 順位,,,,,,,,,,,,,,,
women,林芷安,,WSBL,taipower,,,local,,本土,-,165,-,1991/12/27,北市大學,加盟: 2010-11賽季,,,,,,,,,,,,,,,
women,許庭瑜,,WSBL,cht,,,local,2022Rookie,本土,-,176,-,1997/09/12,臺灣師大,保留名單: 2022-23賽季,,,,,,,,,,,,,,,
,王玥媞,,,cathay,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
,鄭慧慈,,,cathay,,,,,,,,,2001/10/05,,保留名單,,,,,,,,,,,,,,,
,邱群琋,,,cathay,,,,,,,,,2004/08/23,,保留名單,,,,,,,,,,,,,,,
,林妘樺,,,taiyuen,,,,,,,,,2001/03/04,,保留名單,,,,,,,,,,,,,,,
,趙云楓,,,taiyuen,,,,,,,,,2002/09/18,,2024 WSBL 選秀 - #4 順位,,,,,,,,,,,,,,,
,曾萱儀,,,,,,,,,,,,2001/03/11,,,,,,,,,,,,,,,,,
,彭楹芷,,,taipower,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
,林奕瑄,,,taipower,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
,柯采璇,,,taipower,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
,游沁樺,,,taipower,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
,陳芊諭,,,taipower,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
,張婕柔,,,taipower,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,