0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
class,排名,球部,已賽,勝,敗,勝率,勝差,連勝,Last 5,,,,,,主場,客場,OT,Ahead half,Behind half,Tied half,Ahead 3rd,Behind 3rd,Tied 3rd
plg,1,dreamers,24,16,8,66.7%,-,L1,3-2,L,W,W,W,L,9-3,7-5,0-1,14-2,1-6,1-0,14-1,2-7,-
plg,2,kings,24,14,10,58.3%,2,W1,1-4,W,L,L,L,L,8-5,6-5,-,11-2,3-8,-,13-0,1-10,-
plg,3,pilots,25,14,11,56.0%,2.5,W2,4-1,W,W,L,W,W,8-5,6-6,2-0,10-2,4-8,0-1,14-0,0-11,-
plg,4,lioneers,23,12,11,52.2%,3.5,W2,4-1,W,W,L,W,W,6-4,6-7,-,8-3,4-8,-,8-0,3-11,1-0
plg,5,braves,25,11,14,44.0%,5.5,L4,1-4,L,L,L,L,W,7-6,4-8,1-0,7-4,3-10,1-0,9-5,2-9,-
plg,6,steelers,25,6,19,24.0%,10.5,L4,1-4,L,L,L,L,W,2-10,4-9,0-2,5-3,1-15,0-1,5-3,1-15,0-1
,,,,,,,,,,,,,,,,,,,,,,,
t1,1,dea,19,14,5,73.7%,-,W4,4-1,W,W,W,W,L,8-1,6-4,-,10-1,2-4,2-0,12-2,1-3,1-0
t1,2,aquas,19,12,7,63.2%,2,L1,4-1,L,W,W,W,W,8-2,4-5,-,9-2,3-4,0-1,11-3,1-4,-
t1,3,leopards,19,11,8,57.9%,3,L3,1-4,L,L,L,W,L,7-3,4-5,-,9-1,0-7,2-0,10-0,1-7,0-1
t1,4,mars,19,6,13,31.6%,8,W1,3-2,W,L,W,L,W,4-7,2-6,-,5-1,1-10,0-2,5-0,1-13,-
t1,5,ghosthawks,20,5,15,25.0%,9.5,W1,2-3,W,L,L,L,W,4-4,1-11,-,4-2,1-12,0-1,3-1,2-14,-
,,,,,,,,,,,,,,,,,,,,,,,
sbl,1,beer,16,13,3,81.3%,-,W7,5-0,W,W,W,W,W,-,-,0-1,11-0,0-2,2-1,10-0,2-3,1-0
sbl,2,trust,16,9,7,56.3%,4,W1,1-4,W,L,L,L,L,-,-,-,8-2,1-3,0-2,5-3,2-3,2-1
sbl,3,yulon,16,6,10,37.5%,7,L1,3-2,L,W,W,L,W,-,-,1-0,5-1,1-9,-,5-2,1-7,0-1
sbl,4,bll,16,4,12,25.0%,9,L3,1-4,L,L,L,W,L,-,-,1-1,1-1,2-11,1-0,2-2,2-9,0-1
,,,,,,,,,,,,,,,,,,,,,,,
wsbl,1,taiyuen,16,15,1,93.8%,-,W4,4-1,W,W,W,W,L,-,-,-,12-0,3-1,-,14-0,1-1,-
wsbl,2,cathay,16,10,6,62.5%,5,W1,4-1,W,L,W,W,W,-,-,-,8-2,2-4,-,9-1,1-5,-
wsbl,3,telecom,16,4,12,25.0%,11,L6,0-5,L,L,L,L,L,-,-,-,4-2,0-10,-,4-1,0-11,-
wsbl,4,power,16,3,13,18.8%,12,L1,2-3,L,W,L,L,W,-,-,-,2-2,1-11,-,2-1,1-12,-